id,clarification_question
264261,could you please provide details of your analysis ?
264580,why would you do that ?
264593,i am assuming that $ var ( x ) $ is the identical variance of any of the $ x_i $ ?
264601,"could you please tell us what these "" normality assumptions for linear modeling "" might be ?"
264640,how is death measured in each experiment ?
265047,does $ e ( x_n ) $ help in proving convergence ?
265076,the y variable is obscure . is it categorical nominal or ordinal or count or ( discrete ) metric ?
265260,is a $ 1 / 2 $ factor missing in the exponential or not ?
265320,it depends : what analysis do you wish ultimately to carry out ?
265576,can you provide some context for where you've encountered this terminology ?
265606,if y is continuous how can it only have values 0 or 1 ?
265660,can you edit your post to clarify whether this is a group identified from theory or by fishing in the data ?
265943,$ ( 1-x ) / x = frac { 1 } { x } -1 $ is not exponential . it's a branch of a hyperbola . in what context did you see this ?
266030,have you tried feature selection ?
266146,"constant , as opposed to variable , maybe ?"
111074,"what is the "" conclusion "" to which the title refers ?"
266474,looks like you are trying to exhaust all the downsampling methods . does this wikipedia page help ?
266584,can you model it with high standard deviation ?
266750,"could you clarify what you mean by an "" equally expressive model "" ?"
266783,what model do you use ?
266842,"it's not recommended because those regression could give you out-of-bound results . if you want to do that , why not just ordinal regression ?"
267060,[ why ?
267485,what is a normal answer ?
267695,"rather than giving us a putative answer and asking what the associated question might be , why don't you explain the problem you actually have and ask a specific question about it ?"
267908,"all the eigen values of ` sample_corr ` are positive , so the matrix is positive definite . can you show the code of ` is . positive . semi . definite ` ?"
268001,can you share a reference to this off-policy version of sarsa you're curious about ?
268243,yes . but what exactly are you asking for ?
268354,how much data do you have ?
268420,what is gmm ?
33507,have you read about how w is computed ?
268572,what statistic are you calculating ?
268652,i'm curious how you get a dog to respond to a likert item ; - ) . are you saying you have both before & after measures for each dog in 2 groups & want to compare the groups ?
268916,"could you please tell us what you mean by "" the variance "" of an eight-dimensional variable ?"
269034,do you know how to calculate an roc curve ?
269127,do you know the difference between error and residual ?
269137,"you're already familiar with interpreting the cdf as the area under the distribution's pdf ( "" bell curve "" in the normal case ) , yes ?"
269358,hint : exactly what would be the equation of the line based only on average price per square meter ?
269378,"there seems to be no assurance that your objective function is even defined--it looks entirely possible for it to attempt to take logs of negative values . the parameterization looks unstable , too . are you sure this is actually a log likelihood ?"
269438,"alex is your response ordered categories ( e . g . high , medium , low ) or nominal categories ( red , blue , yellow ) ?"
269452,"are you comfortable with linear algebra , matrix algebra ?"
269611,"is there a distinction between an "" a "" and a "" 2a "" ?"
269651,can you be a little more specific / give a more concrete example ?
269615,can you provide some kind of figure ?
269863,is this question from a course or homework ?
270437,could you indicate why the trial lengths vary ?
270514,the question seems to be quite vague . are you asking if you can fit an interaction term like : $ imr_i = beta_0 beta_1democracy beta_2gdp beta_3democracy : gdp epsilon_i $ ?
270807,"why do you think that 3 is the "" mean satisfaction level "" ?"
270955,"i do not see any clusters there , do you ?"
271408,shouldn't this matrix be symmetric ?
271455,"can you please give some relevant reference for "" one of the talks "" , the speaker and / or some relevant publication ?"
271631,"i'm a little confused by the question . it may be that you need to provide more detail . for instance , in designing this study , how did you intend to use the * control * group ?"
271830,probably sf insures against zero denominator ?
271865,do you know how the ci was computed ?
271980,"i take it you want to compare interpretation-1's tool1 measure and interpretation-2's tool1 measure , and these measures are both counts ( i . e . , ratio scales ) ?"
272296,is this a pca function you wrote ?
272499,you can probably answer this question yourself simply by considering how you would use the predicted response . exactly how do you intend to interpret or use it ?
272705,"would "" club "" perhaps be intended to mean "" clump "" or "" combine "" ?"
273177,are you saying that because the fourth row is ' one minus sum of other three rows' that means the matrix can't have full rank ?
273403,"once you've found the hyperparameters , when you say "" test set "" , you mean some hold out data that you haven't used for cv ?"
273423,what characteristic do you have to distinguish new users from old ?
273619,did you exclude the prediction column from your dataset ?
273675,i am not familiar with sap hana but am very interested in solution . could you describe your data please ?
273769,"are we to understand that the "" income gap "" will be the dependent variable in these $ 30 $ cross-sectional regressions ?"
273776,"a properly applied $ chi ^ 2 $ test will demonstrate that there are preferences . ( the null hypothesis of * no preference * is not the same as * no difference in patterns * among the species , and has different expected values . ) but why do that ?"
273826,"kevinkim you have to clarify how this data matrix is used . i presume the columns are your predictors that feed into a model to explain some response , correct ?"
274079,do you expect covariance in the measurement error ?
274255,are you asking the general theoretical question about applying this kind of penalty in a flexible manner or are you looking for explicit python solutions ?
274442,"i tend to view "" dimensionality reduction "" as pertaining to variables ( or features or vectors ) , and silhouette scores as pertaining to clustered objects ( or cases or observations ) . am i wrong ?"
274497,what are the * rules * you are talking about ?
274512,"it's not unambiguously clear what you intend there by "" $ x sim b ( alpha , beta ) , space x k $ "" . do you mean a [ truncated ] ( url ) beta distribution ( truncated on the left at $ k $ ) ?"
274721,"i always think of this as a large markov graph where subpart of the "" journey "" is a transition between the different states . then you just don't want the transition matrix to become unwieldy . perhaps you can aggregate similar pages into one state ?"
274725,why do you want bootstrap standard error estimates for cox regression covariates ?
274804,so your question is : how to determine the values of weight penalties ?
274860,exactly what kinds of comparisons are you looking for ?
275046,where did you see this terminology used ?
275164,is $ sigma_f $ a parameter or a function of the data ?
275373,"intuitively , is 5 out of 20 really "" much more "" then 3 out of 20 ?"
275605,"correct me if i've misunderstood something . . . you have m matrices , and m associated ( leading ) eigenvalues . and you are asking whether it is equivalent to jackknife over the matrices and then calculate the eigenvalues , versus jackknife over the eigenvalues ?"
275755,is there just one or one for each item ?
275806,it would be very helpful to understand what the ultimate goal is . why do you need the normalization ?
275982,the squared deviations from the median ?
276239,"just to be sure , can you clarify what you mean by "" the method of fa would be pca "" ?"
276320,"how do you define the $ sigma $ -algebra on $ mathcal { v } $ , necessary to define $ p ( v in b ) $ where $ b $ any events of this $ sigma $ -algebra ?"
276518,are your data naturally ordered or would breaking them into subsets of equal weight do ?
276573,why no correction for multiple testing ?
276837,how do you know that the ma ( 1 ) model is best whether or not you include an intercept ?
276901,what is correlation of the genes . . ?
277075,you define it in terms of a probability distribution . does a probability distribution need to integrate to 1 . . ?
277385,what exactly is your question ?
277596,what do the axes represent ?
277664,what is given ?
277686,do you have series of realized variances ( and perhaps realized covariance ) or just the vix and xau / usd themselves ?
277767,"i suppose $ mu $ is the fixed effect , which should be the same for $ t = 1 , ldots , t $ . do you do that ?"
278014,what is the model ?
278026,"need to specify what parameter or function of parameters you try to estimate by $ hat p_1 $ . in addition , you have $ e ( x ) $ , and could not find $ e ( frac { x 2 } { n 4 } ) $ ?"
278093,since attitudes to recycling is an ordered categorical variable why not use ordered logistic regression ?
278161,how does $ u_t $ enter into the regression model ?
278209,did you find the answer below satisfactory ?
278247,what is the independent variable ?
278346,which paper are you referencing ?
278357,why do you have a problem with question 1 ?
278358,stationarity is a form of dependence ?
278821,could you give an example ?
279069,are you looking for patterns in the sequence ?
279264,this is an outer product so you have a random matrix ?
279361,you put raw in quotes . . . is really only the d' available or is also available the proportion correct ?
279385,can you please provide one ( or some ) of the references you have already used so your question and a potentially answer as better contextualised ?
279445,i suspect this might have been discussed before on cross validated . have you gone through similar threads thoroughly ?
90985,how many independent variables do you have ?
279648,why do the p-values matter in your question ?
279769,when you say you are required to do you mean this is a self-study question ?
279891,can you post your data ?
280014,"suppose you're on a site where old people stay for hours and hours , but young people leave right away . ( maybe it follows step function at age 18 . ) obviously , age affects your predictions . am i mis-understanding your question ?"
280125,the first question is why you are considering a goodness of fit test at all ?
280318,how much training data is that ?
280376,could you show in more detail how that logarithm arises ?
280466,1 ) why shouldn't it ?
280499,what purpose do you have in mind ?
280500,"there are a number of strange issues here . you claim that 8571 stayed , but really the split is telling you that 8571 have a satisfaction level of $ = 0 . 46 $ . so why is the "" stayed "" part in the data set equal to this ?"
280681,we need more information . what is the goal of doing the t-tests ?
280745,"after getting the image of every player , can you use k-means clustering with k = 3 on the pixels to get the 3 different color groups ?"
280980,how would you deal with a subscriber who arrives to find the carpark already filled ?
281309,i don't really follow your situation . what would be the point of running a pca ?
281362,could you be more specific on what you mean by scale ?
281473,in my experience when r gives me this warning it means i have done something truly stupid . it is a bit like : did you really mean . . . ?
281526,"tell me if im thinking about this correctly : your dependent variable is , say , the temperature , and we have a bunch of other independent variables like cloud coverage and wind speed ?"
281633,could you post the ` head ( ) ` of your data ?
281664,it's sometimes said ( and i've even read it in books ) that you should use nonparametric methods when you have small sample sizes . i've no idea what the justification is for this . perhaps you can ask the recommender ?
281698,welcome to cv . what is icc ?
281878,where have you seen people mention supervised dimension reduction ?
281931,signal / noise ?
282070,what does linear distribution look like ?
282386,did the methods you explored not work for you ?
282461,what are you doing it for ?
282513,i don't understand : has $ b_1 $ occured or not ?
282762,"perhaps it is too late to ask your instructor . this kind of question really makes me wonder why they were not identified and addressed in class . moreover , are these problems genuine barriers to using such models , which could prove quite useful ?"
282835,if you have no prior belief why bother with the bayesian approach ?
282950,"it looks like $ f $ , $ b $ , $ c $ and $ n $ are irrelevant and potentially distracting . ignoring the constant coefficients in $ z $ , which affect the variance in simple obvious ways , aren't you just asking what the variance is of the logistic transformation $ e ^ y / ( 1 e ^ y ) = 1-1 / ( 1 e ^ y ) $ of a normal random variable $ y $ ?"
283034,"if i understand , you have two dependent variables . do you have any independent variables ?"
283116,"are your independent variable data concurrent , or are you trying to forecast future sales based on current iv data ?"
283117,"so you have 3 measurements per worker , is that right ?"
283157,question your basis . can you have negative population ?
283248,$ f_i = ?
283339,what makes you think anova is only for paired data ?
283549,"hmm , the index does seem to mean something , doesn't it ?"
283624,are you asking that if you use the probability integral transform to generate data from a normal distribution and only take values from . 5 . to 1 from the uniform distribution if the resulting data would also follow a normal distribution ?
283798,did the lecturer provide any reference ?
284112,is your main hypothesis the four-way interaction ?
284197,under what distributional assumptions ?
284287,could you explain what you're trying to do in more detail ?
284299,"there seems to be some confusion expressed here . in particular , ` sd ` simply computes an ( adjusted ) standard deviation . it has nothing to do with any assumptions of normality . you might therefore want to rephrase your question in a way that distinguishes basic statistics , like the sd , from your * objectives * . in particular , what are you actually trying to find out about these data ?"
284351,are you assuming that the distribution ( s ) are gaussian ?
284453,did everyone in your study have cardiovascular disease ?
284513,do you know the n in each mean ?
284541,"you seem to be on the threshold of rediscovering analysis of variance : - ) . for some intuition , consider what would happen if the data for person # 5 were 103 , 102 . could you interpret the two versions of the se in that case ?"
83619,"hint : based on your last formula , it looks like the only way in which the data enter into the likelihood is via the expression $ sum log x_i $ . how is that related to the geometric mean ?"
284031,why are you * convolving * those two things ?
284945,how does your confusion matrix look like ?
285129,"do you mean to ask whether you can have , for example , both age and sex as independent variables ?"
285246,"they're * binary * variables , not bernoulli . bernoulli relates to a probability distribution , while these needn't be random . what are you trying to find out ?"
285326,using categorical variables to explain the response is very common in multivariate regression . what exactly are you not getting ?
285331,"how could distribution "" retain time index "" ?"
285346,why not fit a poisson-based time series model ?
285384,by test set do you mean the predictions you'll have to make when your model gets deployed into production and has to make live predictions ?
285506,how does the initial ranking of features work ?
285956,where did you hear / read that one of the assumptions of logistic regression is that you must have continuous predictors ?
286082,can you be more specific about what bothers you about it ?
286087,are you sure your title correctly reflects the question ?
286092,what sort of analysis do you want to do of the subset ?
286114,can you provide reference for those formulas ?
286222,"it's not clear to me why that's a problem . q : "" which model has better accuracy ?"
286225,"is your concern about some source of error ( is this implementation right / sufficiently accurate ) , or is it in relation to the possibility getting a sample ( or samples ) that are by chance far from what you'd usually see ?"
286302,why do you say that having one case and multiple controls is unusual ?
286379,you have sum every days of the same hour ?
286427,"ive never seen anyone evaluate the performance of a model based on the training time . perhaps you are reading about deep learning in particular , which are expensive to train ?"
286441,can you provide more information about your data ?
286519,what is rsm ?
286911,to what do you add the noise ?
287178,is $ sigma $ the variance or the standard deviation ?
287283,are you trying to construct an interval for the proportion that choose lemon ?
287301,$ p_2 - p_1 $ is an effect size . do you have a particular effect size type you want to estimate ?
287329,do you need to add a self-study tag to this question ?
287480,"i think this might be an unsolved problem . the code you link to is * ad hoc * and unsupported by any assessment of its performance or correctness , and therefore it shouldn't be relied on without extensive testing and analysis . do you need the absolute best solution or will a decent approximation be ok ; and if so , how close should the approximation be ?"
287536,does this require the self-study tag ?
287557,what do the rows and columns of the matrix represent ?
287645,it is somewhat unclear as to what you are asking . there seems to be two questions here : ( a ) how to know if ` x1 ` or ` x2 ` is better at predicting ` y ` . this could be done in a number of ways . but you also are asking ( b ) how to compare non-nested models . are you asking which model tests your hypothesis best ?
287705,is non-pair important ?
288060,why not just do the math ?
288163,is there any possibility that the $ p $ -values are being restricted by the characteristics of the test you are using to generate them ?
288452,users might be able to help better if you provide more information . is this a software question ?
288555,"if you know you have 10 classes , why are you doing cluster analysis rather than some form of classification ?"
288583,how exactly would you even get started ?
288601,"what if c and a occur , but b does not occur ?"
288770,could you clarify question 1 ?
288774,"obviously you need * some * estimate of $ sigma $ . thus , is your question about * which * estimator $ hat sigma $ to use or is it about why the confidence interval takes this particular form ?"
290789,if you look at the correlation matrix does that show very high correlations ?
290847,how large is your sample ?
291067,if it is rct already why you use propensity score ?
291202,"are they photographs taken by hand that needs not have the box perfectly head-on , or are they perfect reproductions of the fronts of the boxes ?"
291280,could you give more details about what statistical steps you've taken on the data and what the context / expected result of this should be ?
291377,are you saying the trees themselves are attempting to minimize the exponential loss greedily ?
291398,"can you clarify the part about "" at what value of the continuous variable would we get a desired probability "" ?"
291522,what are the axes in your figure ?
291695,"please share some of your code , this will allow others to help you better . what kind of functions are you using for your analysis ?"
291945,"can you assume a unique mapping from p & q to your new distribution , let's call it u , i . e . ( p , q ) maps to u ?"
291982,"see url for answers to the question "" what is a random variable ?"
292047,"lipsey and wilson ( 2001 ) give the standard error of the _logit_ transformed proportion ( log odds ) . also , when you write "" many studies provide the standard error "" , then the standard error of _what_ ?"
292199,"i assume that in your second paragraph you mean "" . . . incurring bias can lead to lower losses "" instead of "" . . . higher losses "" ?"
292222,do you want to regress $ c $ on $ b $ or $ b $ on $ c $ ?
292289,can you make this more concrete & focused on a narrow question ?
292440,what properties do you want your control limits to have ?
292519,why not just compare the proportions ?
292600,are you asking ( a ) if it is * possible * to do inverse-variance weighting with reml in the ` metafor ` package or ( b ) does the reml estimator do this by default ?
292616,how do you know it isn't stationary ?
292634,"what is the "" conventional "" estimation method in this case ?"
293838,what programming language or software package would you prefer to use ?
293843,"no , it doesn't mean that . it means that , under the assumption that the true value of that parameter is zero , and a slew of model assumptions are fulfilled , that the probability you would observe data giving you a parameter estimate equally or more extreme than what you actually observed is smaller than your presumed threshold . what does that have to do with predictive power ?"
293894,how is it possible to have n k ?
294021,""" slope "" ?"
294108,how did you select your tuning parameter ?
294153,what is your research question ?
294175,the standard definition of error is different . ( see tag ) . what is absolute difference ?
294216,"since the two functions are essentially the same , what exactly are you trying to ask ?"
294315,( 1 ) makes no sense at all . what are you trying to assert ?
294422,why don't you get ( b-a ) ( b a ) = b $ ^ 2 $ -a $ ^ 2 $ ?
294429,what will happen in pca without normalization if you switch a feature from being measured in meters to being measured in millimeters ?
294467,i think you might need to give some more information and an example . what are these subsamples ?
294571,can you define what you mean undersampled ?
294610,what is the response ?
294632,"could you describe what an "" example "" would consist of ?"
294646,the title is unclear . sufficient for what ?
294756,what's fminunc ?
294989,what are you trying to compute ( average number of banks per country ) ?
295108,"first , refine your target : are you trying to predict whether they will relocate in the next 365 days ?"
295149,are there two heavy tails or one ?
295598,the answer to this would almost amount to a complete introductory statistics course . can you narrow it down a bit to a specific scientific analysis where you are in doubt what to do ?
291703,can you clarify what your mod function does ?
295719,what do you want to know about these data ?
296092,"are those performance measurements conducted on testing dataset ( one that was not used for training the model , e . g . via cross-validation ) . . ?"
296224,the presence of a picture is a binary variable which you could use in a correlation . but why not just estimate the difference between the means for the two groups with a confidence interval ?
296270,did they differ so that you ask it ?
296364,"the distribution is asymmetric ; the variance is not - it's just related to spread , and is agnostic with respect to skew . perhaps you are interested in calculating something like an upper 95 % quantile ?"
296869,what was your train / test split ?
296966,"i don't really understand the spirit of this question . mcc is a number ( a summary statistic ) , whereas roc is a curve . are you maybe asking why to use auc over mcc ?"
297141,you sure that it is $ 0 . 05x ^ 2 $ in the exponent and not $ 0 . 05x $ ?
297445,"because the grammar is warped and the question is so terse , it is difficult to understand . could you modify or expand it ?"
297458,how precise is the data ?
297595,"the goal of a cfa is generally to test the possibility that a latent variable or set of latent variables can reasonably account for the observed variances and covariances of your manifest variables . that being said , i am having a little difficulty understanding a research aim in which an investigator wants to use a cfa but include 0 latent variables . there are other extensions of structural equation models like measured variable path analyses . perhaps , this latter approach is more suitable for your aims ?"
297865,what's a caterpillar plot ?
297927,are you assuming that $ x $ and $ y $ are independent ?
298015,how do you get that hypothesized mean ?
297811,"it is difficult to understand what you are asking because you do not seem to have formulated a definite hypothesis and you appear to use technical terms , especially "" parameter , "" in a nonstandard way . could you provide some more background or explanation of what you are actually doing , what these "" parameters "" are , and how they are measured , determined , or estimated ?"
298175,these terms may be idiosyncratic to the text . what is this text and how does it describe or define them ?
298210,` does the above code somehow nest the random effects ?
298355,probability of what ?
298607,what is the first thing you've tried to answer the question yourself ?
298701,"this is the typical case , if all your nodes are pure you have overfit the data . see this ( slide when to stop splitting ?"
298822,"when you talk about correlation changing over time , do you mean the data generating process is changing ?"
298957,what's a blstm ?
298962,you need a distribution . do you have it ?
299529,does your network converge and overfit if you make the training set just one or a few datapoints ?
299593,"define "" find patterns "" . on random data , the predicted class will look random , so what ?"
299640,this is a very broad question and is not likely to get very useful answers . do you have a specific dataset or domain you are considering ?
299639,are you sure you have formulated your question as you intended ?
299816,what about using some weighed f score ?
300173,could you tell more about your use case ?
300661,why can't you use dunn's test ?
300814,that first p-value is $ 10 ^ { -497 } $ and the second is $ 10 ^ { -178 } $ . but why should such a result be a problem ?
300990,"what you have done is ( almost ) discovered that , when drawing independent observations from a population , the standard deviation of the sample mean is equal to the standard deviation of the population divided by the sample size . is this what you are interested in learning about ?"
301071,"what makes you say that the remainder has a "" cyclical "" setup ?"
301080,better in what sense ?
301201,how would you know that b and c do not intersect ?
301305,did you fit both models on the same data set ?
301334,what is the aim of your analysis ?
301547,does the sequence always have the same length ?
301622,what's $ phi $ in this case ?
301688,is your case somehow different from dozens of previous questions on order selection of arima models ?
301732,what makes you think that there are any outliers ( in the sense of erroneous extreme values ) ?
301802,( 1 ) in many practical cases it's impossible or meaningless to set $ x = 0 $ ( what if $ x $ is a person's height ?
301941,discriminant analysis controls for all the variables that are used to create the discriminant functions . perhaps you mean to stratify by some variable ?
302047,but did all of your patients get treated ?
228968,how many participants do you have ?
302333,roughly how many parameters do you have ?
302423,are you checking every observation ?
302437,"it's hard to study tensors from a mathematical perspective without also learning some differential topology or geometry at the same time , as that is where these objects are most important in mathematics . is that something you are interested in ?"
302640,why not use an offset rather than dividing ?
302744,that's called a problem of instability . does it happen with all algorithms ?
302945,write down the rejection rules for both proposed tests . are they going to always reject the same cases ?
302983,are the events the three probabilities refer to independent ?
303106,"welcome to cross validated , hwjang . your question leads me to suppose that you misunderstand the nature of a t-statistic . the magic 1 . 96 number is not relevant to the t-distribution unless the sample size is very large . perhaps start by searching for an explanation of a t-test on this site . if you want the most helpful answers you should provide more context than you have given . what is the table an output from ?"
303218,"these situations can be subtle and complex . for instance , how do you identify these groups of squares ?"
303249,"glen_b , would [ tukey's hsd ] ( url ) or similar not be appropriate here ?"
303276,where did you find your top formula ?
303317,it's hard to answer this question without a clear objective in mind . what application is this for ?
303466,is this from a [ tag : self-study ] question ?
303526,"the image is too small to read the subscript easily , can you edit it into your question as a formula ?"
303553,your demands are not articulated enough . 1 ) what if the object is farther from centroid than the threshold - what is its destiny then ?
303804,"your question is unclear ; you say you calculate the correlation matrix and ask a question on p-values , i assume that you compute a correlation matrix and then want to test some hypothesis , what is that hypothesis that you want to test ?"
303836,couldn't you find out any other reading on the training / validation / test dataset splitting on the internet ?
303916,"you are talking about of out of sample accuracy , right ?"
303939,could you give us ( possibly made-up ) example of your data so it is more clear what is the problem about in here ?
303990,regression splines have defined knots . are you referring to using some particular function in some package where you specify df and that function is placing the knots for you ?
304116,"what's even more , how does this model hope to produce actionable results at the student level ?"
304138,would it be possible to compare using information criteria such as dic or bayes factors ?
304173,to me the summary line on the first graph is tilted . is that an illusion ?
304204,how is depression measured ?
304155,from the deep learning book ?
251528,"i think this might qualify for a self-study tag since you seem to want some hints as to how to proceed , but not the final answer ?"
304481,"* why * do you want to "" add "" them . . ?"
304570,what does accuracy mean here ?
304907,so it doesn't have an optimum ?
305431,"i would begin by considering how the electric bill is given as data . do you have scanned images or the original computer representation created by the energy producer , for instance ?"
305800,"you can always use straightforward rejection sampling if you can find a constant $ c geq sup_x p ( x ) $ . however , the computational issue with having to perform a bivariate numerical integration for every proposal step seems pretty important no matter what . can you write out the three conditional densities and construct a gibbs sampler ?"
306227,"what does "" $ y $ "" represent in your formula for $ hat n $ ?"
306426,is it sufficient to just use the mean squared error ?
306656,"welcome to cv ! i have made some edits to your post for clarity ( let me know if i unintentionally changed the meaning ) . what do you mean by "" normalize ?"
306861,do you want to say that you want to measure an association between categories of p and categories of s ?
306875,?
306911,"well , you can just copy-paste , so what's there to confirm ?"
306920,"i like to use two nearly opposite , but still valid ways to get to the answer . will you accept an answer that isn't symbolic ?"
307071,please provide more information : are the events independent ?
307158,is not it the confusion matrix question ?
307207,your question at the end seems to imply that poisson noise can only be non-additive . why do you think that ?
307353,"rolling origin seems fine . what measures of model quality were you considering , and what are your doubts about this ?"
307436,[ rnn ] ( url ) ?
307447,"i have not heard of the hawkes process , but it sounds like something one might encounter with heavy tailed distributions . did you test for this ?"
307578,why do you believe a mape below 3 ( % ?
307616,"whether it is drift or "" trend "" , you want to supply ( v ) ar model with stationary or pseudo-stationary data . what if you take : a ) first differences , b ) first log differences of your vector and try to investigate the existence of : a ) autoregressive part , b ) seasonality ?"
307788,"i think you're right to be worried about seasonality . saying more about the phenomena of interest would give context : i am guessing at an ecological and / or environmental topic . so , why do you think an annual mean and sd is either needed or useful here ?"
308051,what exactly do you mean by * at run time * ?
308095,this reads like a routine textbook exercise . . . is this an exercise for some class ?
308168,how can i upvote your son for asking great probability questions ; - ) ?
308326,where did you here that definition ?
308795,are you talking about bootstrapping ?
308828,can you expand on the way how you think the data is paired ?
310142,is this a test question or a homework question ?
336611,"by "" football "" i assume you refer to what in the united states is called "" soccer "" ?"
240198,what do you mean by vc matrix of a model ?
241244,"i had a co-worker apply the 1 - cor_matrix method ( in python ) for a client we were consulting for who wanted to use k-means clustering on some click-bait feature for their social media data . it seemed to work fine for their purposes . i will ask though , what data are you trying to cluster and what are you trying to gain from the cluster analysis ?"
137630,is this just a question about how to use stata ?
249625,do you have a reference for that statement ?
249959,can you clarify what you mean by normalise ?
250096,"sorry , can you clarify the question a bit more ?"
255966,you could do almost anything you want but what is your motivation and what would be the statistical justification ?
267381,can you provide a little more context for this ?
277297,what exactly do you want to achieve ?
286651,"what's wrong with something "" mainstream "" ?"
288816,are you sure that it's paired ?
298817,are you familiar with the primal and dual statements of the svm optimization problem ?
310371,"logistic regression does not produce class assignments , only probabilities . so an important question is , how did you convert the class probabilities to class assignments , and why ?"
234271,what are about off-diagonal elements of ` c ` ?
235065,"yes can you add more information about the "" extrapolation "" ?"
236191,"why are you using gbm , vs say an arima ( p , d , q ) model ?"
237286,what you seem to be doing doesn't make sense to me . why are you comparing proportions for one subgroup with the combined data for both groups in the numerator but using a denominator for a subgroup-vs-subgroup comparison ?
238236,"if you have a constraint $ theta leq c $ , then this seems like [ map ] ( url ) estimation perhaps ?"
238606,what is the question you want to answer about the populations of interest ?
240582,so you want to mark a point for the mean and an interval indicating mean $ pm $ standard error ?
241111,how much data do you have ?
244938,perhaps if you share your thoughts others can help you find a way forward ?
248270,did you read the article in that post ?
249212,"what are 0 , 1 , 3 , lables or numbers ?"
252564,do you mean $ beta_1 - beta_2 $ ?
254007,"can you elaborate further on what you mean by a "" nonstatistical "" moment ?"
255278,do you want the lines to meet at k as you have drawn it or do you just want different slopes ?
255498,are the censoring levels constant or can they vary ?
256551,what is alpha ?
261314,what is a matthews correlation coefficient ?
261928,"what do you mean exactly by "" valid "" ?"
263945,i don't understand the question as formulated . could you at least try to produce a grammatically meaningful sentence ?
266034,is this a question from a course or textbook ?
272147,i think you may want to look at the mantel-haenzel method for stratifying odds ratios . out of curiosity is this regarding a heart operation ?
272858,"the description of this process is ambiguous , because it can include all gridded sampling procedures as well as adaptive procedures unrelated to grids : they differ in how the minimum distance criterion is implemented and enforced . do you have a specific problem or specific sampling procedure in mind ?"
274366,hint : could the distribution be multinormal if either of the marginals is * discrete * ?
277846,what are the units for error ?
282362,is it differentiable ?
282586,"to be clear about what you are asking , do you want to ( a ) test an individual who was singled out for such testing for some * a priori * reason unrelated to the data ; ( b ) test all individuals to identify * one * who is "" most outlying "" ; ( c ) test all individuals to identify * any * that appear to be outliers ; or ( d ) something else ?"
285348,"by "" one hot encoding "" do you mean * reference level * coding or * level means * coding ( see [ here ] ( url ) for examples ) or something else , in this case ?"
288603,what are we talking about here ?
290770,are $ a $ or $ q $ known ?
300103,would you kindly add the plot you are talking about to this question ?
300485,i am afraid that this may be too broad to be answerable . . . could you edit to add more details and make it more specific ?
302105,there are a number of questions on this site tagged [ tag : sensitivity-analysis ] . perhaps you could review them again and then clarify what you do not understand ?
302717,is your model linear in all your predictors ?
1507,"why would you calculate the probability of exactly 39 in case 1 , but 39 or higher in case 2 ?"
2423,cw perhaps ?
3136,"skarab maybe i'm totally off , but wouldn't you expect that the frequency of any word will be inversely proportional to its rank in the frequency table of words , according to zipf's law ( url ) ?"
3383,can you distinguish what pre-treatment weight is assigned to each different treatment group ?
3616,"what do you mean by "" different "" ?"
3646,"it's unclear how "" regression "" could be invoked in a * univariate * dataset . also , exactly what distinction are you suggesting between the two bulleted methods ?"
3715,as i understand the [ agresti-coull ] ( url ) procedure is used to generate approximate confidence intervals for the binomial proportion confidence interval . i am not sure i see the relationship to bayes theorem . could you provide some context and your goals within the context to understand how the bayes arises in the context of the agresti-coull method ?
3924,i'm missing something : you have your dataset so you compute its mean * m * and standard deviation * s * . the value at * z * standard deviations from the mean therefore equals m z * s for any * z * you like . where is the problem ?
4918,calculate in what sense ?
5508,really 21st century 2000 and onward ?
5680,could you link to some of those threads ?
6753,i really wonder how an equal frequency histogram might look like . i have the intuition that it is really flat . can you give an example ?
6841,"teucer , what do you mean by simulate ?"
7285,"a very interesting problem . do you have a sample of "" typical population of email addresses "" at hand ?"
7326,"mortimer , good question , can you tell us what you want to do with this sample ?"
8662,"mbaitoff : your comments to the answer of schenectady indicate , that you are less interested in getting the name of the distribution but in finding out why the values are distributed this way . is this correct ?"
8771,"b the answer is that you're asking a different question . you're not trying to decide whether there are significant differences among different options ; you simply need to make the best decision possible , based on these data , concerning which is the best . suppose you had to answer to the head of advertising , who wants your decision : which is "" the best performing ad ?"
8984,"just to make sure , you calculate cv for the sample only from the two measurements ?"
9228,is this a case-control study ?
9299,what do you mean by a gaussian with a variance * and * scale parameter ?
7982,some questions : how many datapoints do you have ( i smell a prototypical overfitting problem ) ?
9581,what kind of clustering method would you like to use ?
9625,do you have a specific alternative hypothesis in mind ?
9607,"sorry , can you clarify what you're trying to do ?"
9817,"what do you mean by "" number of free parameters of g "" ?"
10407,with large ` n ` the independent poisson approximation is probably fine . did you try simulation studies of how well the formula is working ?
11243,josh you added the tag ` ridge-regression ` . does it mean that you have a large number of predictors and / or that you suspect that it has something to do with the observed difference in prediction accuracy ?
11800,are you familiar with the bradley-terry model ?
11899,"jms given that the nominal data would have to be represented as dummy indicators , doesn't that point us right back to the question about [ factor analysis of dyadic data ] ( url ) ?"
11967,can you give a counterexample of what you mean ?
6656,but what is the question precisely ?
12706,isn't it possible that your independent variable that obtains negative coefficient in multiple-prediction circumstances serves as a suppressor variable ?
